Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","7151","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","739","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","150","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","203","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2515","Seigle et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2516","Avoine","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2517","Millet et produits","2017","2017","Milliers de tonnes","6","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2518","Sorgho et produits","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","2","Afghanistan","5301","Disponibilité intérieure","2520","Céréales, Autres","2017","2017","Milliers de tonnes","0","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilité intérieure","2511","Blé et produits","2017","2017","Milliers de tonnes","3250","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilité intérieure","2807","Riz et produits","2017","2017","Milliers de tonnes","1530","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilité intérieure","2513","Orge et produits","2017","2017","Milliers de tonnes","373","S","Données standardisées"
"FBS","Bilans Alimentaires (2010-)","202","Afrique du Sud","5301","Disponibilité intérieure","2514","Maïs et produits","2017","2017","Milliers de tonnes","11608","S","Données standardisées"
